제조회사,품명,가격
삼성,DM500TDA-A38A,741040
삼성,DM500SDZ-AD5A,729000
한성,TFG MX9465S,878000
삼성,DM530ADA-L15A,592630
삼성,DM530ADA-L78A,1333660
삼성,DM530ADA-L58A,1136780
삼성,DM500SDA-A25A,493700
한성,F2500W,588000
삼성,DM500TDA-A58A,889440
IGNIQ,IGNIQPC 27A,469000
한성,TFG MX9465S,878000
한성,AX12505,599000
한성,MX12505,1159000
IGNIQ,PC 27B,599000
한성,TFG AX12506,1399000
한성,TFG AX12708i,2859000
한성,AX5506i,1668990
LG전자,27V70N-FR50K,1490000
IGNIQ,RT-SPP00001,329000
IGNIQ,30Y,1099000
IGNIQ,IRT-SPP00002,379000
삼성,DM530ADA-L38A,889000
LG전자,24V50N-GR56K,933600
HP 파빌리온,TP01-2023KL,579000
